subject,graph,method,n_channels,accuracy
16,1,1,8,0.575
16,1,1,9,0.6083333333333334
16,1,1,11,0.6416666666666668
16,1,1,12,0.6416666666666666
16,1,1,13,0.625
16,1,1,14,0.6916666666666667
16,1,1,16,0.6583333333333333
16,1,1,18,0.675
16,1,1,20,0.7166666666666666
16,1,1,22,0.7000000000000001
16,1,1,29,0.7
16,1,1,30,0.7083333333333334
16,1,2,3,0.4333333333333333
16,1,2,6,0.5416666666666666
16,1,2,9,0.5916666666666667
16,1,2,12,0.6666666666666667
16,1,2,15,0.6583333333333334
16,1,2,18,0.7
16,1,2,21,0.7250000000000001
16,1,2,24,0.6500000000000001
16,1,2,27,0.6916666666666667
16,1,2,30,0.7083333333333334
16,1,2,30,0.7083333333333334
16,1,3,3,0.575
16,1,3,6,0.525
16,1,3,9,0.5416666666666667
16,1,3,12,0.5750000000000001
16,1,3,15,0.65
16,1,3,18,0.6833333333333333
16,1,3,21,0.7
16,1,3,24,0.6499999999999999
16,1,3,27,0.6916666666666667
16,1,3,30,0.7083333333333334
16,1,3,30,0.7083333333333334
17,1,1,3,0.6583333333333334
17,1,1,4,0.6833333333333333
17,1,1,5,0.7583333333333334
17,1,1,7,0.7833333333333333
17,1,1,8,0.775
17,1,1,9,0.7833333333333333
17,1,1,11,0.8
17,1,1,12,0.7833333333333334
17,1,1,13,0.7916666666666667
17,1,1,14,0.7833333333333334
17,1,1,16,0.7749999999999999
17,1,1,18,0.7583333333333333
17,1,1,20,0.8083333333333333
17,1,1,22,0.8166666666666667
17,1,1,29,0.8333333333333334
17,1,1,30,0.8333333333333334
17,1,2,3,0.7666666666666667
17,1,2,6,0.8333333333333334
17,1,2,9,0.9083333333333334
17,1,2,12,0.875
17,1,2,15,0.8416666666666666
17,1,2,18,0.9083333333333332
17,1,2,21,0.8416666666666666
17,1,2,24,0.8583333333333334
17,1,2,27,0.8583333333333332
17,1,2,30,0.8333333333333334
17,1,2,30,0.8333333333333334
17,1,3,3,0.7416666666666667
17,1,3,6,0.8
17,1,3,9,0.8083333333333333
17,1,3,12,0.7666666666666667
17,1,3,15,0.8
17,1,3,18,0.7916666666666666
