subject,graph,method,n_channels,accuracy
14,1,1,36,0.788888888888889
14,1,1,37,0.7888888888888888
14,1,1,63,0.9777777777777779
14,1,1,64,0.9777777777777779
14,1,2,10,0.5777777777777777
14,1,2,15,0.7111111111111111
14,1,2,20,0.7777777777777779
14,1,2,25,0.8222222222222222
14,1,2,30,0.8777777777777779
14,1,2,35,0.9555555555555555
14,1,2,40,0.9555555555555557
14,1,2,45,0.9444444444444444
14,1,2,50,0.9666666666666668
14,1,2,55,0.9111111111111111
14,1,2,60,0.9888888888888889
14,1,2,64,0.9777777777777779
14,1,3,10,0.5666666666666668
14,1,3,15,0.8222222222222223
14,1,3,20,0.8
14,1,3,25,0.8555555555555555
14,1,3,30,0.8111111111111112
14,1,3,35,0.888888888888889
14,1,3,40,0.8666666666666668
14,1,3,45,0.9
14,1,3,50,0.8777777777777779
14,1,3,55,0.9666666666666668
14,1,3,60,0.9777777777777779
14,1,3,64,0.9777777777777779
15,1,1,6,0.5666666666666667
15,1,1,11,0.6444444444444445
15,1,1,13,0.7
15,1,1,14,0.7
15,1,1,17,0.8
15,1,1,19,0.7333333333333334
15,1,1,24,0.8555555555555555
15,1,1,26,0.8222222222222222
15,1,1,30,0.8
15,1,1,32,0.8
15,1,1,34,0.8
15,1,1,36,0.8444444444444444
15,1,1,37,0.8222222222222222
15,1,1,63,0.7666666666666666
15,1,1,64,0.7666666666666666
15,1,2,10,0.5888888888888889
15,1,2,15,0.7222222222222222
15,1,2,20,0.6888888888888889
15,1,2,25,0.7888888888888889
15,1,2,30,0.7444444444444444
15,1,2,35,0.7
15,1,2,40,0.7222222222222222
15,1,2,45,0.7333333333333333
15,1,2,50,0.7222222222222222
15,1,2,55,0.7333333333333333
15,1,2,60,0.711111111111111
15,1,2,64,0.7666666666666666
15,1,3,10,0.6222222222222222
15,1,3,15,0.6333333333333334
15,1,3,20,0.7444444444444444
15,1,3,25,0.7555555555555555
15,1,3,30,0.7333333333333333
15,1,3,35,0.7111111111111111
15,1,3,40,0.7444444444444445
15,1,3,45,0.7000000000000001
15,1,3,50,0.7777777777777778
15,1,3,55,0.7666666666666666
15,1,3,60,0.7
15,1,3,64,0.7666666666666666
16,1,1,6,0.47777777777777775
16,1,1,11,0.7
16,1,1,13,0.7555555555555556
16,1,1,14,0.7888888888888889
16,1,1,17,0.7777777777777778
16,1,1,19,0.7777777777777778
16,1,1,24,0.7555555555555554
16,1,1,26,0.711111111111111
16,1,1,30,0.711111111111111
16,1,1,32,0.7444444444444445
16,1,1,34,0.7333333333333333
16,1,1,36,0.6333333333333333
16,1,1,37,0.6777777777777778
16,1,1,63,0.6333333333333333
16,1,1,64,0.6333333333333333
16,1,2,10,0.6444444444444444
16,1,2,15,0.7
16,1,2,20,0.7222222222222222
16,1,2,25,0.6666666666666667
16,1,2,30,0.5888888888888888
16,1,2,35,0.6444444444444444
16,1,2,40,0.6111111111111112
16,1,2,45,0.7333333333333333
16,1,2,50,0.788888888888889
16,1,2,55,0.6777777777777778
16,1,2,60,0.6444444444444445
16,1,2,64,0.6333333333333333
16,1,3,10,0.6333333333333333
16,1,3,15,0.7111111111111111
16,1,3,20,0.7444444444444444
16,1,3,25,0.7222222222222221
16,1,3,30,0.6444444444444445
16,1,3,35,0.6444444444444445
16,1,3,40,0.6333333333333333
16,1,3,45,0.6555555555555556
16,1,3,50,0.6333333333333332
16,1,3,55,0.6000000000000001
16,1,3,60,0.6
16,1,3,64,0.6333333333333333
17,1,1,6,0.6888888888888889
17,1,1,11,0.6444444444444445
17,1,1,13,0.5444444444444445
17,1,1,14,0.5555555555555556
17,1,1,17,0.6111111111111112
17,1,1,19,0.6222222222222221
17,1,1,24,0.5777777777777778
17,1,1,26,0.6
17,1,1,30,0.6
17,1,1,32,0.5888888888888889
17,1,1,34,0.5888888888888889
17,1,1,36,0.5555555555555556
17,1,1,37,0.5222222222222221
17,1,1,63,0.6666666666666667
17,1,1,64,0.6666666666666667
17,1,2,10,0.6222222222222221
17,1,2,15,0.6666666666666667
17,1,2,20,0.6444444444444444
17,1,2,25,0.7333333333333333
17,1,2,30,0.6555555555555556
17,1,2,35,0.7444444444444444
17,1,2,40,0.6222222222222223
17,1,2,45,0.6111111111111109
17,1,2,50,0.6555555555555556
17,1,2,55,0.6666666666666666
17,1,2,60,0.6333333333333333
17,1,2,64,0.6666666666666667
17,1,3,10,0.6666666666666666
17,1,3,15,0.5888888888888888
17,1,3,20,0.5333333333333333
17,1,3,25,0.5444444444444445
17,1,3,30,0.6
17,1,3,35,0.711111111111111
17,1,3,40,0.6444444444444445
17,1,3,45,0.6222222222222222
17,1,3,50,0.6111111111111112
17,1,3,55,0.6222222222222222
17,1,3,60,0.6888888888888889
17,1,3,64,0.6666666666666667
18,1,1,6,0.7333333333333334
18,1,1,11,0.7
18,1,1,13,0.7
18,1,1,14,0.6111111111111112
18,1,1,17,0.6777777777777777
18,1,1,19,0.6777777777777778
18,1,1,24,0.6333333333333333
18,1,1,26,0.6888888888888889
18,1,1,30,0.6777777777777778
18,1,1,32,0.7333333333333334
18,1,1,34,0.7666666666666666
18,1,1,36,0.7111111111111111
18,1,1,37,0.7
18,1,1,63,0.7000000000000001
18,1,1,64,0.7000000000000001
18,1,2,10,0.5666666666666667
18,1,2,15,0.5777777777777778
18,1,2,20,0.6111111111111112
18,1,2,25,0.6555555555555557
18,1,2,30,0.7444444444444445
18,1,2,35,0.7555555555555556
18,1,2,40,0.7777777777777778
18,1,2,45,0.7444444444444444
18,1,2,50,0.7555555555555555
18,1,2,55,0.6888888888888889
18,1,2,60,0.6888888888888889
18,1,2,64,0.7000000000000001
18,1,3,10,0.6666666666666666
18,1,3,15,0.6222222222222222
18,1,3,20,0.6333333333333334
18,1,3,25,0.6444444444444445
18,1,3,30,0.6888888888888889
18,1,3,35,0.7
18,1,3,40,0.7777777777777778
18,1,3,45,0.7333333333333333
18,1,3,50,0.7333333333333334
18,1,3,55,0.711111111111111
18,1,3,60,0.7222222222222222
18,1,3,64,0.7000000000000001
19,1,1,6,0.6777777777777778
19,1,1,11,0.8555555555555555
19,1,1,13,0.8777777777777777
19,1,1,14,0.9111111111111111
19,1,1,17,0.9111111111111111
19,1,1,19,0.888888888888889
19,1,1,24,0.9222222222222222
19,1,1,26,0.9111111111111111
19,1,1,30,0.9
19,1,1,32,0.9111111111111111
19,1,1,34,0.9111111111111111
19,1,1,36,0.9
19,1,1,37,0.9
19,1,1,63,0.9
19,1,1,64,0.9
19,1,2,10,0.6777777777777778
19,1,2,15,0.6666666666666666
19,1,2,20,0.6444444444444445
19,1,2,25,0.8333333333333333
19,1,2,30,0.8666666666666666
19,1,2,35,0.9
19,1,2,40,0.9111111111111111
19,1,2,45,0.9111111111111111
19,1,2,50,0.9111111111111111
19,1,2,55,0.888888888888889
19,1,2,60,0.9
19,1,2,64,0.9
19,1,3,10,0.6222222222222222
19,1,3,15,0.7333333333333333
19,1,3,20,0.8
19,1,3,25,0.9222222222222222
19,1,3,30,0.9111111111111112
19,1,3,35,0.9111111111111111
19,1,3,40,0.8666666666666666
19,1,3,45,0.9
19,1,3,50,0.8444444444444444
19,1,3,55,0.9
19,1,3,60,0.9
19,1,3,64,0.9
20,1,1,6,0.5444444444444444
20,1,1,11,0.6555555555555556
20,1,1,13,0.6
20,1,1,14,0.6
20,1,1,17,0.6111111111111112
20,1,1,19,0.5333333333333334
20,1,1,24,0.6333333333333333
20,1,1,26,0.6222222222222222
20,1,1,30,0.5666666666666667
20,1,1,32,0.6222222222222222
20,1,1,34,0.6222222222222222
20,1,1,36,0.5222222222222223
20,1,1,37,0.5333333333333333
20,1,1,63,0.5666666666666667
20,1,1,64,0.5666666666666667
20,1,2,10,0.45555555555555555
20,1,2,15,0.5222222222222221
20,1,2,20,0.4444444444444445
20,1,2,25,0.45555555555555555
20,1,2,30,0.5666666666666667
20,1,2,35,0.5777777777777777
20,1,2,40,0.5666666666666667
20,1,2,45,0.5
20,1,2,50,0.44444444444444436
20,1,2,55,0.4444444444444445
20,1,2,60,0.5444444444444444
20,1,2,64,0.5666666666666667
20,1,3,10,0.5666666666666667
20,1,3,15,0.47777777777777775
20,1,3,20,0.4888888888888888
20,1,3,25,0.6111111111111112
20,1,3,30,0.6555555555555556
20,1,3,35,0.5444444444444445
20,1,3,40,0.5888888888888888
20,1,3,45,0.5333333333333333
20,1,3,50,0.5777777777777777
20,1,3,55,0.5999999999999999
20,1,3,60,0.4999999999999999
20,1,3,64,0.5666666666666667
21,1,1,6,0.5222222222222223
21,1,1,11,0.5777777777777777
21,1,1,13,0.788888888888889
21,1,1,14,0.7777777777777777
21,1,1,17,0.7888888888888889
21,1,1,19,0.8
21,1,1,24,0.8
21,1,1,26,0.8333333333333333
21,1,1,30,0.7555555555555555
21,1,1,32,0.8222222222222223
21,1,1,34,0.8444444444444444
21,1,1,36,0.8111111111111111
21,1,1,37,0.8111111111111111
21,1,1,63,0.8111111111111112
21,1,1,64,0.8111111111111112
21,1,2,10,0.5555555555555556
21,1,2,15,0.7
21,1,2,20,0.7444444444444444
21,1,2,25,0.7444444444444444
21,1,2,30,0.7777777777777778
21,1,2,35,0.788888888888889
21,1,2,40,0.7777777777777778
21,1,2,45,0.7444444444444445
21,1,2,50,0.8111111111111112
21,1,2,55,0.7999999999999999
21,1,2,60,0.8333333333333334
21,1,2,64,0.8111111111111112
21,1,3,10,0.611111111111111
21,1,3,15,0.5888888888888888
21,1,3,20,0.8444444444444444
21,1,3,25,0.7888888888888889
21,1,3,30,0.8444444444444443
21,1,3,35,0.8222222222222222
21,1,3,40,0.8222222222222222
21,1,3,45,0.8444444444444444
21,1,3,50,0.7777777777777777
21,1,3,55,0.7888888888888888
21,1,3,60,0.8222222222222223
21,1,3,64,0.8111111111111112
22,1,1,6,0.7444444444444444
22,1,1,11,0.8
22,1,1,13,0.8444444444444443
22,1,1,14,0.8444444444444444
22,1,1,17,0.888888888888889
22,1,1,19,0.888888888888889
22,1,1,24,0.8333333333333334
22,1,1,26,0.8444444444444444
22,1,1,30,0.9222222222222223
22,1,1,32,0.9555555555555555
22,1,1,34,0.9222222222222222
22,1,1,36,0.9111111111111111
22,1,1,37,0.9111111111111111
22,1,1,63,0.9222222222222223
22,1,1,64,0.9222222222222223
22,1,2,10,0.888888888888889
22,1,2,15,0.9111111111111111
22,1,2,20,0.8777777777777777
22,1,2,25,0.9111111111111111
22,1,2,30,0.9
22,1,2,35,0.9111111111111111
22,1,2,40,0.9555555555555555
22,1,2,45,0.9444444444444444
22,1,2,50,0.9444444444444444
22,1,2,55,0.9555555555555557
22,1,2,60,0.9777777777777779
22,1,2,64,0.9222222222222223
22,1,3,10,0.8333333333333334
22,1,3,15,0.888888888888889
